MachineID,CPU,RAM
6,0.5,0.2493
7,0.5,0.2493
14,0.5,0.2493
19,0.5,0.2493
27,0.5,0.2493
37,0.5,0.2493
38,0.5,0.2493
39,0.5,0.2493
52,0.5,0.2493
61,0.5,0.2493
62,0.5,0.2493
63,0.5,0.2493
72,0.5,0.2493
73,0.5,0.2493
74,0.5,0.2493
75,0.5,0.2493
121306,0.5,0.2493
243096,0.5,0.2493
381113,0.5,0.4995
381128,0.5,0.4995
381129,0.5,0.4995
381133,0.5,0.4995
381139,0.5,0.4995
381233,0.5,0.4995
381234,0.5,0.4995
381352,0.5,0.4995
381361,0.5,0.2493
381364,0.5,0.4995
381368,0.5,0.4995
381369,0.5,0.4995
381370,0.5,0.4995
381374,0.5,0.4995
381378,0.5,0.4995
381381,0.5,0.4995
381386,0.5,0.4995
381389,0.5,0.4995
410692,0.5,0.4995
410695,0.5,0.4995
418535,0.5,0.4995
418536,0.5,0.4995
418547,0.5,0.4995
418552,0.5,0.4995
418560,0.5,0.4995
418562,0.5,0.4995
418565,0.5,0.4995
418570,0.5,0.4995
418572,0.5,0.4995
418581,0.5,0.4995
418583,0.5,0.4995
418584,0.5,0.4995
418585,0.5,0.4995
418588,0.5,0.4995
418589,0.5,0.4995
418689,0.5,0.4995
418690,0.5,0.4995
418691,0.5,0.4995
418695,0.5,0.4995
418697,0.5,0.4995
418708,0.5,0.4995
421569,0.5,0.4995
421571,0.5,0.4995
421574,0.5,0.4995
421587,0.5,0.4995
421592,0.5,0.4995
421593,0.5,0.4995
422053,0.5,0.4995
422069,0.5,0.4995
422080,0.5,0.4995
422084,0.5,0.4995
422091,0.5,0.4995
450799,0.5,0.4995
485241,0.5,0.4995
486699,0.5,0.4995
486703,0.5,0.4995
486711,0.5,0.4995
486816,0.5,0.4995
486820,0.5,0.4995
486826,0.5,0.4995
486827,0.5,0.4995
486959,0.5,0.4995
487385,0.5,0.4995
487386,0.5,0.4995
487390,0.5,0.4995
487391,0.5,0.4995
487399,0.5,0.4995
487403,0.5,0.4995
487404,0.5,0.4995
487411,0.5,0.4995
487541,0.5,0.4995
487548,0.5,0.4995
514995,0.5,0.4995
514996,0.5,0.4995
567336,0.5,0.4995
567341,0.5,0.4995
567345,0.5,0.4995
567348,0.5,0.4995
567382,0.5,0.4995
567611,0.5,0.4995
567618,0.5,0.4995
567626,0.5,0.4995
567756,0.5,0.4995
567757,0.5,0.4995
567764,0.5,0.4995
567769,0.5,0.4995
567780,0.5,0.4995
567783,0.5,0.4995
567790,0.5,0.4995
567902,0.5,0.4995
567907,0.5,0.4995
567910,0.5,0.4995
567917,0.5,0.4995
567920,0.5,0.4995
567929,0.5,0.4995
567933,0.5,0.4995
568912,0.5,0.4995
595665,0.5,0.4995
595666,0.5,0.4995
599601,0.5,0.4995
599604,0.5,0.4995
599605,0.5,0.4995
599607,0.5,0.4995
599614,0.5,0.4995
599620,0.5,0.4995
599623,0.5,0.4995
599624,0.5,0.4995
599626,0.5,0.4995
599756,0.5,0.4995
599757,0.5,0.4995
599763,0.5,0.4995
599764,0.5,0.4995
599765,0.5,0.4995
599770,0.5,0.4995
599788,0.5,0.4995
599792,0.5,0.4995
599793,0.5,0.4995
599794,0.5,0.4995
602943,0.5,0.4995
602948,0.5,0.4995
602949,0.5,0.4995
602951,0.5,0.4995
602953,0.5,0.4995
602962,0.5,0.4995
602971,0.5,0.4995
602973,0.5,0.4995
602978,0.5,0.4995
602985,0.5,0.4995
602987,0.5,0.4995
603109,0.5,0.4995
603110,0.5,0.4995
603111,0.5,0.4995
603115,0.5,0.4995
603116,0.5,0.4995
603117,0.5,0.4995
603126,0.5,0.4995
603131,0.5,0.4995
627967,0.5,0.4995
627969,0.5,0.4995
631943,0.5,0.4995
631947,0.5,0.4995
631951,0.5,0.4995
631954,0.5,0.4995
634701,0.5,0.4995
634705,0.5,0.4995
634715,0.5,0.4995
638197,0.5,0.4995
638204,0.5,0.4995
638207,0.5,0.4995
638221,0.5,0.4995
638232,0.5,0.4995
638347,0.5,0.4995
638356,0.5,0.4995
638368,0.5,0.4995
638375,0.5,0.4995
653445,0.5,0.4995
660258,0.5,0.4995
660385,0.5,0.4995
660389,0.5,0.4995
660402,0.5,0.4995
660404,0.5,0.4995
660408,0.5,0.4995
660410,0.5,0.4995
660411,0.5,0.4995
660766,0.5,0.4995
660921,0.5,0.4995
660950,0.5,0.4995
662191,0.5,0.4995
662202,0.5,0.4995
662205,0.5,0.4995
662207,0.5,0.4995
662208,0.5,0.4995
662210,0.5,0.4995
662211,0.5,0.4995
662212,0.5,0.4995
662213,0.5,0.4995
662215,0.5,0.4995
662216,0.5,0.1241
662218,0.5,0.4995
662219,0.5,0.1241
662221,0.5,0.4995
662226,0.5,0.4995
662351,0.5,0.4995
662363,0.5,0.4995
662367,0.5,0.4995
662368,0.5,0.4995
662369,0.5,0.4995
662370,0.5,0.4995
662371,0.5,0.4995
662381,0.5,0.4995
662382,0.5,0.4995
662851,0.5,0.4995
672206,0.5,0.4995
672217,0.5,0.4995
